tweet,label,clean_text
Mahasiswa ITS buat pembangkit listrik dari kolam air garam. Gimana sob? Satu lagi penemuan sumber energi alternatif. http://ow.ly/i/2X2RP,hoax,mahasiswa its buat bangkit listrik kolam air garam gimana sob satu temu sumber energi alternatif
Lampu Dengan Sumber Energi Air Garam Ini Berpotensi Dijadikan Charger Smartphone: Sumber energi alternatif tam... http://bit.ly/1SHw8X0,hoax,lampu sumber energi air garam potensi jadi charger smartphone sumber energi alternatif tam
#didUknow Lampu LED yang menggunakan air dan garam sebagai sumber listrik: Belakangan banyak energi... http://d-id.tk/PovJ8e (@keripiku),hoax,lampu led guna air garam sumber listrik belakang banyak energi
#tekno Lampu Dengan Sumber Energi Air Garam Ini Berpotensi Dijadikan Charger Smartphone http://goo.gl/waWW4H,hoax,lampu sumber energi air garam potensi jadi charger smartphone
"Green House,lampu darurat dg sumber energi garam&air.ada port USB yg dpt digunakan Hiseners utk mengisi baterai hp.",hoax,green houselampu darurat dg sumber energi garamairada port usb dpt guna hiseners utk isi baterai hp
Inovasi ini berupa pemanfaatan air garam sebagai sumber energi listrik alternatif untuk kemandirian energi berbasis potensi lokal Madura.,?,inovasi upa manfaat air garam sumber energi listrik alternatif mandiri energi bas potensi lokal madura
Saat membuang air garam berisi energi virus dan energi penyakit jangan sampai tersiram ke tanaman atau ke sumber... http://fb.me/CHEPa9jq,?,buang air garam isi energi virus energi sakit jangan siram tanam sumber
"[Detiknews] Di Kampus Lain Ratusan Juta, Biaya Masuk FK Unsoed Rp 0!: Jika FK Undip mematok uang pangkal Rp 125 ... http://bit.ly/LZGNrw",hoax,detiknews kampus ratus juta biaya masuk fk unsoed rp fk undip patok uang pangkal rp
"Ini pencemaran nama baik, gk masuk akal kl masuk PT Undip ampe ngeluarin uang 87 M buat uang pangkal, 87 M itu besar banget,,!",valid,cemar nama baik gk masuk akal kl masuk pt undip ampe ngeluarin uang m buat uang pangkal m besar banget
"Di Kampus Lain Ratusan Juta, Biaya Masuk FK Unsoed Rp 0!: Jika FK Undip mematok uang pangkal Rp 125 juta, maka d... http://bit.ly/LZGNrw",hoax,kampus ratus juta biaya masuk fk unsoed rp fk undip patok uang pangkal rp juta d
[Hoax] Uang Pangkal Masuk Undip Rp87 Miliar https://detax.org/issue/xe5 via,hoax,hoax uang pangkal masuk undip rp miliar via
"jalur Mandiri soalnya. Kmrn guru gua nawarin masuk FK UNDIP via jalur Kemitraan, uang pangkal 250 jt, belum SPP nya",?,jalur mandiri soal kmrn guru gua nawarin masuk fk undip via jalur mitra uang pangkal jt spp nya
"Sempat Trending Uang Pangkal Masuk Undip Rp 87 M, Hoaks, yang Ada Sumbangan, Berikut Daftarnya https://wartakota.tribunnews.com/2020/08/24/sempat-trending-uang-pangkal-masuk-undip-rp-87-m-hoaks-yang-ada-sumbangan-berikut-daftarnya… lewat ",hoax,sempat trending uang pangkal masuk undip rp m hoaks sumbang ikut daftar lewat
"Terkait adanya isu soal uang pangkal 87 miliar tersebut, pihak Undip merasa dirugikan dan akan menempuh jalur hukum.",valid,kait ada isu soal uang pangkal miliar sebut pihak undip rasa rugi tempuh jalur hukum
"Copas dr tetangga.... Assalamualaikum wr wb..utk semua ""Vaksin Penyebab AUTIS"" Buat para Pasangan MUDA. Oom dan... http://fb.me/7uc0gtgTz",hoax,copas dr tetangga assalamualaikum wr wbutk semua vaksin sebab autis buat pasang muda oom
"Buat para ortu yg sdh mantu atau mau punya cucu atau ada ponakan2: ""Vaksin Penyebab Autis"" Buat para Pasangan... http://fb.me/6NaAYEKv4",hoax,buat ortu sdh mantu mau punya cucu ponakan vaksin sebab autis buat pasang
Vaksin Penyebab Autisme? http://klik-dr.tk/ZxKspd #KlikDokter,?,vaksin sebab autisme
Semakin banyak dokter2 USA Penentang vaksin .. semakin nyata Vaksin MMR Penyebab Autis..... http://fb.me/1AVPn4ZX8,hoax,makin banyak dokter usa tentang vaksin makin nyata vaksin mmr sebab autis
Jenny Mc Charty artis Hollywood mantannya Jim Carey yg punya anak autis & menyatakan penyebab autisnya krn vaksin MMR,hoax,jenny mc charty artis hollywood mantan jim carey punya anak autis nyata sebab autisnya krn vaksin mmr
"*HATI-HATI DENGAN VAKSINASI* *""Vaksin Penyebab AUTIS""* Buat para Pasangan MUDA. Oom dan Tante yg punya... http://fb.me/7EA3ifkS8",hoax,hatihati vaksinasi vaksin sebab autis buat pasang muda oom tante punya
Vaksin Penyebab Autis - http://aktualpost.com/2015/09/vaksin,hoax,vaksin sebab autis
